osm_id,from_id,to_id,distance_m,fclass,oneway,maxspeed,tiempo_min
23262895,0,1,841.23,residential,0,30,1.68246
23262948,2,3,611.05,residential,0,30,1.2221
23262982,4,5,489.21,residential,0,30,0.97842
23262989,6,7,713.1,residential,0,20,2.1393000000000004
23263232,8,9,254.74,tertiary,0,40,0.38211000000000006
23263244,10,11,1012.22,residential,0,30,2.0244400000000002
23263442,12,13,419.89,residential,0,30,0.83978
23263492,14,15,226.81,tertiary,0,40,0.340215
24019812,16,17,6650.09,trunk,0,80,4.987567500000001
24948114,18,19,46.54,secondary,0,50,0.055847999999999995
24948115,20,21,38.73,secondary,0,50,0.04647599999999999
24948120,19,22,68.49,secondary,0,50,0.082188
24948174,23,24,255.34,secondary,0,50,0.306408
24948188,25,26,346.61,secondary,0,50,0.415932
24948290,27,28,32.71,primary,0,60,0.03271
26140607,31,32,6.32,trunk,0,40,0.009479999999999999
26140632,33,34,243.3,trunk,0,80,0.182475
26140633,35,36,122.98,trunk,0,80,0.092235
26339249,37,38,718.74,trunk,0,80,0.5390550000000001
26339560,39,40,8331.45,trunk,0,80,6.2485875
27482649,41,42,23.17,primary,0,60,0.023170000000000003
27482663,43,44,118.67,primary_link,0,50,0.142404
27482664,45,41,132.43,primary,0,60,0.13243000000000002
27482721,46,47,94.93,primary_link,0,50,0.113916
27482728,48,49,151.66,primary_link,0,50,0.181992
27482767,50,51,86.95,primary_link,0,50,0.10434
27482792,52,53,172.99,primary_link,0,50,0.20758800000000002
27482857,54,55,359.02,primary,0,60,0.35902
27482875,56,57,9.73,primary,0,60,0.00973
27482898,58,59,320.41,primary,0,60,0.32041000000000003
27482950,60,61,218.87,residential,0,30,0.43774
27482967,62,63,988.11,residential,0,30,1.97622
27482969,64,65,181.57,residential,0,30,0.36313999999999996
27482972,66,67,988.5,residential,0,30,1.977
27482977,68,69,409.54,residential,0,30,0.81908
27482982,70,71,989.63,residential,0,30,1.97926
27482990,72,73,988.95,residential,0,30,1.9779
27482994,74,75,988.85,residential,0,30,1.9777
27483003,76,77,988.8,residential,0,30,1.9775999999999998
27483004,78,79,988.04,residential,0,30,1.9760799999999996
27483011,80,81,988.54,residential,0,30,1.97708
27483021,82,83,355.44,residential,0,30,0.71088
